type,byte,FingerPrint,Corelation
application/xml,1,0.0,1.0
application/fits,1,0.0,1.0
application/x-sh,1,0.0,1.0
application/x-msdownload,1,0.0,1.0
image/jpeg,1,0.0,1.0
application/atom+xml,1,0.0,1.0
image/gif,1,0.0,1.0
image/x-ms-bmp,1,0.0,1.0
image/svg+xml,1,0.0,1.0
text/x-php,1,0.0,1.0
application/xhtml+xml,1,0.0,1.0
application/postscript,1,0.0,1.0
application/x-tika-msoffice,1,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,0.0,1.0
video/x-flv,1,0.0,1.0
text/x-matlab,1,0.0,1.0
application/vnd.ms-excel,1,0.0,1.0
text/plain,1,0.0,1.0
image/png,1,0.0,1.0
application/pdf,1,0.0,1.0
application/msword,1,0.0,1.0
application/x-compress,1,0.0,1.0
application/x-tika-ooxml,1,0.0,1.0
application/rdf+xml,1,0.0,1.0
application/vnd.google-earth.kml+xml,1,0.0,1.0
application/rss+xml,1,0.0,1.0
application/epub+zip,1,0.0,1.0
application/x-elc,1,0.0,1.0
audio/mpeg,1,0.0,1.0
text/html,1,0.0,1.0
image/tiff,1,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1,0.0,1.0
application/zip,1,0.0,1.0
image/vnd.microsoft.icon,1,0.0,1.0
video/quicktime,1,0.0,1.0
video/mp4,1,0.0,1.0
application/xml,2,0.0,1.0
application/fits,2,0.0,1.0
application/x-sh,2,0.0,1.0
application/x-msdownload,2,0.0,1.0
image/jpeg,2,0.0,1.0
application/atom+xml,2,0.0,1.0
image/gif,2,0.0,1.0
image/x-ms-bmp,2,0.0,1.0
image/svg+xml,2,0.0,1.0
text/x-php,2,0.0,1.0
application/xhtml+xml,2,0.0,1.0
application/postscript,2,0.0,1.0
application/x-tika-msoffice,2,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,2,0.0,1.0
video/x-flv,2,0.0,1.0
text/x-matlab,2,0.0,1.0
application/vnd.ms-excel,2,0.0,1.0
text/plain,2,0.0,1.0
image/png,2,0.0,1.0
application/pdf,2,0.0,1.0
application/msword,2,0.0,1.0
application/x-compress,2,0.0,1.0
application/x-tika-ooxml,2,0.0,1.0
application/rdf+xml,2,0.0,1.0
application/vnd.google-earth.kml+xml,2,0.0,1.0
application/rss+xml,2,0.0,1.0
application/epub+zip,2,0.0,1.0
application/x-elc,2,0.0,1.0
audio/mpeg,2,0.0,1.0
text/html,2,0.0,1.0
image/tiff,2,0.0,1.0
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2,0.0,1.0
application/zip,2,0.0,1.0
image/vnd.microsoft.icon,2,0.0,1.0
video/quicktime,2,0.0,1.0
video/mp4,2,0.0,1.0
application/xml,3,0.0,1.0
application/fits,3,0.0,1.0
application/x-sh,3,0.0,1.0
application/x-msdownload,3,0.0,1.0
image/jpeg,3,0.0,1.0
application/atom+xml,3,0.0,1.0
image/gif,3,0.0,1.0
image/x-ms-bmp,3,0.0,1.0
image/svg+xml,3,0.0,1.0
text/x-php,3,0.0,1.0
application/xhtml+xml,3,0.0,1.0
application/postscript,3,0.0,1.0
application/x-tika-msoffice,3,0.0,1.0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,3,0.0,1.0
video/x-flv,3,0.0,1.0
text/x-matlab,3,0.0,1.0
application/vnd.ms-excel,3,0.0,1.0
text/plain,3,0.0,1.0
image/png,3,0.0,1.0
application/pdf,3,0.0,1.0
application/msword,3,0.0,1.0
application/x-compress,3,0.0,1.0
application/x-tika-ooxml,3,0.0,1.0
