type,i,j,weight
application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,80,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,75,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,2,3,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,3,4,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,4,20,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,5,0,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,6,6,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,7,0,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,8,8,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,9,0,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,10,0,1
application/vnd.openxmlformats-officedocument.wordprocessingml.document,11,0,1
